"epoch","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - _step__MAX","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/grader","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/grader__MIN","G46_0502-2221_adam_lr_1e-4_bs_2_pretr_Tr_dilconv_Tr_branched_907d0 - metrics_summary/grader__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - _step__MAX","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/grader","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/grader__MIN","G46_0501-2344_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_aspp_decode_e78de - metrics_summary/grader__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - _step__MAX","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/grader","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/grader__MIN","G46_0429-0553_adam_lr_1e-4_bs_2_pretr_True_dilconv_True_f3338 - metrics_summary/grader__MAX"
"10","2210","2210","2210","49.28856559263534","49.28856559263534","49.28856559263534","2210","2210","2210","52.83070159817988","52.83070159817988","52.83070159817988","2210","2210","2210","51.292476599887735","51.292476599887735","51.292476599887735"
"11","2411","2411","2411","51.796244562447484","51.796244562447484","51.796244562447484","2411","2411","2411","54.484782332299545","54.484782332299545","54.484782332299545","2411","2411","2411","49.005748456465824","49.005748456465824","49.005748456465824"
"12","2612","2612","2612","53.72986009858025","53.72986009858025","53.72986009858025","2612","2612","2612","53.70707592592405","53.70707592592405","53.70707592592405","2612","2612","2612","50.41967185210088","50.41967185210088","50.41967185210088"
"13","2813","2813","2813","52.96089227293494","52.96089227293494","52.96089227293494","2813","2813","2813","53.54356976556049","53.54356976556049","53.54356976556049","2813","2813","2813","50.086086289004605","50.086086289004605","50.086086289004605"
"14","3014","3014","3014","55.02038171724293","55.02038171724293","55.02038171724293","3014","3014","3014","54.414932830246556","54.414932830246556","54.414932830246556","3014","3014","3014","51.407361201971085","51.407361201971085","51.407361201971085"
"15","3215","3215","3215","56.30764019066605","56.30764019066605","56.30764019066605","3215","3215","3215","53.7677506297459","53.7677506297459","53.7677506297459","3215","3215","3215","51.39605083733788","51.39605083733788","51.39605083733788"
"16","3416","3416","3416","55.56799298165123","55.56799298165123","55.56799298165123","3416","3416","3416","56.26056951040457","56.26056951040457","56.26056951040457","","","","","",""
"17","3617","3617","3617","56.496129816768736","56.496129816768736","56.496129816768736","3617","3617","3617","57.03099923306608","57.03099923306608","57.03099923306608","","","","","",""
"18","3818","3818","3818","56.458979968281795","56.458979968281795","56.458979968281795","3818","3818","3818","54.88705074652577","54.88705074652577","54.88705074652577","","","","","",""
"19","4019","4019","4019","56.95469818310016","56.95469818310016","56.95469818310016","4019","4019","4019","57.18534412088539","57.18534412088539","57.18534412088539","","","","","",""
"20","4220","4220","4220","57.752158042191965","57.752158042191965","57.752158042191965","4220","4220","4220","58.069184798520624","58.069184798520624","58.069184798520624","","","","","",""
"21","4421","4421","4421","58.11884587714472","58.11884587714472","58.11884587714472","4421","4421","4421","58.743330930021926","58.743330930021926","58.743330930021926","","","","","",""
"22","4622","4622","4622","58.17114668801996","58.17114668801996","58.17114668801996","4622","4622","4622","59.60837958562749","59.60837958562749","59.60837958562749","","","","","",""
